gene_id,gene_name,feature_name,training_raw_variance
ENSG00000163131,CTSS,CTSS,17.628055555555814
ENSG00000008988,RPS20,RPS20,17.364907193072707
ENSG00000234745,HLA-B,HLA-B,16.644331061385305
ENSG00000114391,RPL24,RPL24,15.728819444444142
ENSG00000085265,FCN1,FCN1,15.492399691358102
ENSG00000092841,MYL6,MYL6,15.46477859224978
ENSG00000265681,RPL17,RPL17,15.07177447702329
ENSG00000198763,MT-ND2,MT-ND2,15.037770061728388
ENSG00000131469,RPL27,RPL27,14.952914737654261
ENSG00000233927,RPS28,RPS28,14.774535108024693
ENSG00000204592,HLA-E,HLA-E,13.907056755829958
ENSG00000101608,MYL12A,MYL12A,13.609502743484263
ENSG00000008517,IL32,IL32,13.491007373113955
ENSG00000133639,BTG1,BTG1,13.41696159122091
ENSG00000163191,S100A11,S100A11,13.117204861111295
ENSG00000169442,CD52,CD52,13.09122406550062
ENSG00000100453,GZMB,GZMB,12.949634559327853
ENSG00000130255,RPL36,RPL36,12.873266246570388
ENSG00000138326,RPS24,RPS24,12.86810613854571
ENSG00000111229,ARPC3,ARPC3,12.814183813443249
ENSG00000104894,CD37,CD37,12.637640603566766
ENSG00000185201,IFITM2,IFITM2,12.622599451303344
ENSG00000122862,SRGN,SRGN,12.596288580247096
ENSG00000130429,ARPC1B,ARPC1B,12.380348936900104
ENSG00000197756,RPL37A,RPL37A,12.297523148147931
ENSG00000123349,PFDN5,PFDN5,12.002451774691215
ENSG00000131143,COX4I1,COX4I1,11.86739969135802
ENSG00000065978,YBX1,YBX1,11.838749785665524
ENSG00000145592,RPL37,RPL37,11.823340192043485
ENSG00000177606,JUN,JUN,11.681666666666889
ENSG00000197746,PSAP,PSAP,11.606892789780696
ENSG00000114942,EEF1B2,EEF1B2,11.502838648834093
ENSG00000163736,PPBP,PPBP,10.975120027434855
ENSG00000070756,PABPC1,PABPC1,10.807180212620187
ENSG00000254709,IGLL5,IGLL5,10.55851766117971
ENSG00000119655,NPC2,NPC2,10.436651020233294
ENSG00000135390,ATP5G2,ATP5G2,10.234461591221073
ENSG00000197747,S100A10,S100A10,9.987036179698398
ENSG00000135486,HNRNPA1,HNRNPA1,9.941782407407226
ENSG00000150991,UBC,UBC,9.895768175583065
ENSG00000213741,RPS29,RPS29,9.785817686899637
ENSG00000084207,GSTP1,GSTP1,9.77707283093287
ENSG00000163466,ARPC2,ARPC2,9.670287851509102
ENSG00000198899,MT-ATP6,MT-ATP6,9.396278935185391
ENSG00000169100,SLC25A6,SLC25A6,9.379930555555703
ENSG00000142227,EMP3,EMP3,9.028192515432188
ENSG00000105373,GLTSCR2,GLTSCR2,8.671388674554278
ENSG00000181163,NPM1,NPM1,8.642453489369174
ENSG00000170315,UBB,UBB,8.498023834019325
ENSG00000111716,LDHB,LDHB,8.494628772290966
ENSG00000145741,BTF3,BTF3,8.31527434842258
ENSG00000128016,ZFP36,ZFP36,8.0627312671469
ENSG00000067082,KLF6,KLF6,8.006686385459592
ENSG00000101182,PSMA7,PSMA7,7.929999142661263
ENSG00000160932,LY6E,LY6E,7.801001157407571
ENSG00000136156,ITM2B,ITM2B,7.7266426611798105
ENSG00000102317,RBM3,RBM3,7.688988340192116
ENSG00000241343,RPL36A,RPL36A,7.651062885802485
ENSG00000233276,GPX1,GPX1,7.554420438957554
ENSG00000167658,EEF2,EEF2,7.419461591220955
ENSG00000178982,EIF3K,EIF3K,7.322105624142724
ENSG00000129824,RPS4Y1,RPS4Y1,7.137035108024834
ENSG00000025708,TYMP,TYMP,7.134480238340236
ENSG00000142089,IFITM3,IFITM3,7.115307784636507
ENSG00000089327,FXYD5,FXYD5,7.098794367284
ENSG00000135046,ANXA1,ANXA1,6.765761102537788
ENSG00000203747,FCGR3A,FCGR3A,6.668449074074086
ENSG00000197728,RPS26,RPS26,6.666244641632316
ENSG00000123416,TUBA1B,TUBA1B,6.643291323731221
ENSG00000102879,CORO1A,CORO1A,6.604598551097494
ENSG00000125691,RPL23,RPL23,6.597548010974099
ENSG00000105369,CD79A,CD79A,6.431702460562416
ENSG00000198502,HLA-DRB5,HLA-DRB5,6.394907407407425
ENSG00000140264,SERF2,SERF2,6.362893518518664
ENSG00000113732,ATP6V0E1,ATP6V0E1,6.300802469135846
ENSG00000187608,ISG15,ISG15,6.282636959876594
ENSG00000117091,CD48,CD48,6.172636959876619
ENSG00000130755,GMFG,GMFG,6.139274477023379
ENSG00000080824,HSP90AA1,HSP90AA1,6.083024477023352
ENSG00000100079,LGALS2,LGALS2,6.039698216735262
ENSG00000161960,EIF4A1,EIF4A1,5.981913580246987
ENSG00000213719,CLIC1,CLIC1,5.968964120370444
ENSG00000133872,TMEM66,TMEM66,5.89191850994524
ENSG00000245532,NEAT1,NEAT1,5.884164737654418
ENSG00000160888,IER2,IER2,5.870040294924616
ENSG00000166794,PPIB,PPIB,5.858743998628276
ENSG00000103490,PYCARD,PYCARD,5.854824888545975
ENSG00000117289,TXNIP,TXNIP,5.84248949759954
ENSG00000162704,ARPC5,ARPC5,5.83557527434848
ENSG00000165502,RPL36AL,RPL36AL,5.764286694101574
ENSG00000122566,HNRNPA2B1,HNRNPA2B1,5.748285108024755
ENSG00000092010,PSME1,PSME1,5.66512152777784
ENSG00000162511,LAPTM5,LAPTM5,5.554619127229172
ENSG00000167286,CD3D,CD3D,5.55179698216736
ENSG00000108654,DDX5,DDX5,5.529320130315588
ENSG00000171858,RPS21,RPS21,5.447890732167473
ENSG00000128340,RAC2,RAC2,5.428435999657141
ENSG00000144224,UBXN4,UBXN4,5.424122085048051
ENSG00000117450,PRDX1,PRDX1,5.420599922839522
ENSG00000164104,HMGB2,HMGB2,5.416850994513083
ENSG00000129277,CCL4,CCL4,5.336265432098776
ENSG00000136490,LIMD2,LIMD2,5.210336076817619
ENSG00000147677,EIF3H,EIF3H,5.209819744513089
ENSG00000143110,C1orf162,C1orf162,5.15472200788755
ENSG00000172809,RPL38,RPL38,5.147900377229176
ENSG00000198692,EIF1AY,EIF1AY,5.087052254801162
ENSG00000146278,PNRC1,PNRC1,5.071974451303229
ENSG00000213402,PTPRCAP,PTPRCAP,5.060994513031574
ENSG00000172216,CEBPB,CEBPB,5.02227023319617
ENSG00000140319,SRP14,SRP14,4.959937414266189
ENSG00000169230,PRELID1,PRELID1,4.847760416666714
ENSG00000102265,TIMP1,TIMP1,4.8468441358025
ENSG00000169567,HINT1,HINT1,4.8353684413580575
ENSG00000121966,CXCR4,CXCR4,4.819427083333384
ENSG00000196329,GIMAP5,GIMAP5,4.751473765432108
ENSG00000196735,HLA-DQA1,HLA-DQA1,4.705692515432103
ENSG00000166913,YWHAB,YWHAB,4.678291323731192
ENSG00000118680,MYL12B,MYL12B,4.662165423525453
ENSG00000104388,RAB2A,RAB2A,4.600904492455504
ENSG00000077984,CST7,CST7,4.596465835048016
ENSG00000198668,CALM1,CALM1,4.561942515432155
ENSG00000005022,SLC25A5,SLC25A5,4.5512326388889015
ENSG00000189403,HMGB1,HMGB1,4.534953489369048
ENSG00000157514,TSC22D3,TSC22D3,4.524408221879346
ENSG00000115875,SRSF7,SRSF7,4.502746913580274
ENSG00000125835,SNRPB,SNRPB,4.5013783864884545
ENSG00000006075,CCL3,CCL3,4.495090663580247
ENSG00000100650,SRSF5,SRSF5,4.44380122599457
ENSG00000177156,TALDO1,TALDO1,4.442926740397812
ENSG00000204387,C6orf48,C6orf48,4.368510802469171
ENSG00000168685,IL7R,IL7R,4.257085048010988
ENSG00000145287,PLAC8,PLAC8,4.248748070987662
ENSG00000169976,SF3B5,SF3B5,4.236933299039826
ENSG00000082074,FYB,FYB,4.221939086076806
ENSG00000180644,PRF1,PRF1,4.202776920438964
ENSG00000107223,EDF1,EDF1,4.136543209876576
ENSG00000118816,CCNI,CCNI,4.133177083333381
ENSG00000100906,NFKBIA,NFKBIA,4.113703489369023
ENSG00000179344,HLA-DQB1,HLA-DQB1,4.1063869598765494
ENSG00000133574,GIMAP4,GIMAP4,4.097576946159143
ENSG00000149925,ALDOA,ALDOA,4.079436728395134
ENSG00000182718,ANXA2,ANXA2,4.020185185185191
ENSG00000117118,SDHB,SDHB,4.0183536951303696
ENSG00000126709,IFI6,IFI6,4.010120027434857
ENSG00000131495,NDUFA2,NDUFA2,4.002177640603602
ENSG00000074800,ENO1,ENO1,3.9889909122085454
ENSG00000164096,C4orf3,C4orf3,3.982708333333393
ENSG00000164543,STK17A,STK17A,3.974585048011012
ENSG00000188404,SELL,SELL,3.966074888545932
ENSG00000112081,SRSF3,SRSF3,3.9236796982167332
ENSG00000077549,CAPZB,CAPZB,3.902252872085094
ENSG00000099624,ATP5D,ATP5D,3.8937240655007255
ENSG00000165672,PRDX3,PRDX3,3.8686694101508774
ENSG00000131171,SH3BGRL,SH3BGRL,3.865739883401957
ENSG00000109332,UBE2D3,UBE2D3,3.855513545953407
ENSG00000131051,RBM39,RBM39,3.8434765089162974
ENSG00000213654,GPSM3,GPSM3,3.8212480709877075
ENSG00000122034,GTF3A,GTF3A,3.807062542866934
ENSG00000118640,VAMP8,VAMP8,3.792299168381387
ENSG00000187109,NAP1L1,NAP1L1,3.782158564814843
ENSG00000169714,CNBP,CNBP,3.779658564814877
ENSG00000204264,PSMB8,PSMB8,3.7738648834019495
ENSG00000204257,HLA-DMA,HLA-DMA,3.769783950617299
ENSG00000172543,CTSW,CTSW,3.7568895747599496
ENSG00000007312,CD79B,CD79B,3.6887851508916283
ENSG00000115738,ID2,ID2,3.682890732167357
ENSG00000099622,CIRBP,CIRBP,3.6787240655007296
ENSG00000009790,TRAF3IP3,TRAF3IP3,3.6646088391632308
ENSG00000167283,ATP5L,ATP5L,3.6393413494513265
ENSG00000197766,CFD,CFD,3.6218441358024833
ENSG00000042753,AP2S1,AP2S1,3.616755829903977
ENSG00000116824,CD2,CD2,3.6140258487654284
ENSG00000133321,RARRES3,RARRES3,3.612599451303168
ENSG00000134333,LDHA,LDHA,3.6112480709876467
ENSG00000170759,KIF5B,KIF5B,3.602962962962963
ENSG00000163479,SSR2,SSR2,3.581973379629617
ENSG00000144746,ARL6IP5,ARL6IP5,3.5778701560356776
ENSG00000198851,CD3E,CD3E,3.564598551097415
ENSG00000125534,PPDPF,PPDPF,3.557200788751742
ENSG00000177105,RHOG,RHOG,3.527722908093273
ENSG00000089280,FUS,FUS,3.457715192043881
ENSG00000116251,RPL22,RPL22,3.410300925925963
ENSG00000145220,LYAR,LYAR,3.401002872085047
ENSG00000104964,AES,AES,3.3966647376543246
ENSG00000090263,MRPS33,MRPS33,3.392720979080932
ENSG00000163737,PF4,PF4,3.3120316786694093
ENSG00000106153,CHCHD2,CHCHD2,3.2962268518519005
ENSG00000106028,SSBP1,SSBP1,3.295264060356644
ENSG00000143543,JTB,JTB,3.2872599451303026
ENSG00000162191,UBXN1,UBXN1,3.2669204389574498
ENSG00000152518,ZFP36L2,ZFP36L2,3.2294750943073263
ENSG00000213593,TMX2,TMX2,3.2049020490397693
ENSG00000156976,EIF4A2,EIF4A2,3.17894718792871
ENSG00000102144,PGK1,PGK1,3.1735851766117733
ENSG00000145649,GZMA,GZMA,3.165838263031546
ENSG00000120675,DNAJC15,DNAJC15,3.1359548611111068
ENSG00000152234,ATP5A1,ATP5A1,3.1215629286693845
ENSG00000121858,TNFSF10,TNFSF10,3.1186342592592426
ENSG00000175550,DRAP1,DRAP1,3.1185150891632163
ENSG00000146386,ABRACL,ABRACL,3.1129610339506035
ENSG00000196262,PPIA,PPIA,3.0954421724966252
ENSG00000140990,NDUFB10,NDUFB10,3.0887851508916047
ENSG00000111669,TPI1,TPI1,3.087366040809334
ENSG00000113648,H2AFY,H2AFY,3.0853650120027365
ENSG00000254999,BRK1,BRK1,3.0605536265431805
ENSG00000172531,PPP1CA,PPP1CA,3.0467573302468853
ENSG00000105856,HBP1,HBP1,3.0422290809327848
ENSG00000180573,HIST1H2AC,HIST1H2AC,3.0398043124142635
ENSG00000156587,UBE2L6,UBE2L6,3.0359044924554013
ENSG00000169813,HNRNPF,HNRNPF,2.984992283950583
ENSG00000198931,APRT,APRT,2.978044410150898
ENSG00000197249,SERPINA1,SERPINA1,2.9663888888888836
ENSG00000130592,LSP1,LSP1,2.9630810613854424
ENSG00000136238,RAC1,RAC1,2.9595987654320868
ENSG00000152795,HNRNPDL,HNRNPDL,2.9509945130315556
ENSG00000099783,HNRNPM,HNRNPM,2.9473379629629415
ENSG00000164111,ANXA5,ANXA5,2.9468619255829744
ENSG00000109971,HSPA8,HSPA8,2.9379552469136256
ENSG00000143158,MPC2,MPC2,2.935725094307255
ENSG00000131981,LGALS3,LGALS3,2.9352846364883343
ENSG00000136888,ATP6V1G1,ATP6V1G1,2.930833333333343
ENSG00000184752,NDUFA12,NDUFA12,2.9282233796296193
ENSG00000067560,RHOA,RHOA,2.926260073731144
ENSG00000100300,TSPO,TSPO,2.920827974965701
ENSG00000100450,GZMH,GZMH,2.9204678926611796
ENSG00000232112,TMA7,TMA7,2.9136554783951016
ENSG00000149357,LAMTOR1,LAMTOR1,2.91361111111111
ENSG00000158710,TAGLN2,TAGLN2,2.9011726251714487
ENSG00000075415,SLC25A3,SLC25A3,2.8907816786693847
ENSG00000147684,NDUFB9,NDUFB9,2.873857810356633
ENSG00000198786,MT-ND5,MT-ND5,2.868482295953327
ENSG00000174886,NDUFA11,NDUFA11,2.8648139574759757
ENSG00000125970,RALY,RALY,2.862057398834005
ENSG00000137441,FGFBP2,FGFBP2,2.8167333247599453
ENSG00000120742,SERP1,SERP1,2.8100460819615694
ENSG00000132341,RAN,RAN,2.809074074074073
ENSG00000240065,PSMB9,PSMB9,2.7899946416323727
ENSG00000188612,SUMO2,SUMO2,2.7826123113854537
ENSG00000173660,UQCRH,UQCRH,2.766473765432088
ENSG00000148908,RGS10,RGS10,2.7578180727023214
ENSG00000130731,C16orf13,C16orf13,2.746479552469134
ENSG00000182054,IDH2,IDH2,2.7442352537722803
ENSG00000205246,RPSAP58,RPSAP58,2.7429610339506643
ENSG00000241837,ATP5O,ATP5O,2.730671296296276
ENSG00000170296,GABARAP,GABARAP,2.72384066358024
ENSG00000100911,PSME2,PSME2,2.715366941015091
ENSG00000124172,ATP5E,ATP5E,2.7146499914266724
ENSG00000112335,SNX3,SNX3,2.7002209790809224
ENSG00000214046,SMIM7,SMIM7,2.6994425154320822
ENSG00000149932,TMEM219,TMEM219,2.670918209876523
ENSG00000171159,C9orf16,C9orf16,2.6631925154320886
ENSG00000179144,GIMAP7,GIMAP7,2.6532388117283876
ENSG00000196683,TOMM7,TOMM7,2.6277434842250242
ENSG00000163634,THOC7,THOC7,2.603021262002718
ENSG00000148834,GSTO1,GSTO1,2.5953221450617265
ENSG00000178741,COX5A,COX5A,2.568607681755825
ENSG00000127184,COX7C,COX7C,2.5606890860768425
ENSG00000117410,ATP6V0B,ATP6V0B,2.5594733796296123
ENSG00000087302,C14orf166,C14orf166,2.5428238597393515
ENSG00000089248,ERP29,ERP29,2.526233710562376
ENSG00000146066,HIGD2A,HIGD2A,2.5224965706446993
ENSG00000136003,ISCU,ISCU,2.5209702932098694
ENSG00000173762,CD7,CD7,2.5207681755829903
ENSG00000164032,H2AFZ,H2AFZ,2.510492969821654
ENSG00000143761,ARF1,ARF1,2.4964120370370244
ENSG00000169564,PCBP1,PCBP1,2.4920567558298767
ENSG00000189159,HN1,HN1,2.472204861111118
ENSG00000131236,CAP1,CAP1,2.451491555212581
ENSG00000125877,ITPA,ITPA,2.433140432098755
ENSG00000116478,HDAC1,HDAC1,2.426436899862807
ENSG00000131508,UBE2D2,UBE2D2,2.4111719821673363
ENSG00000100353,EIF3D,EIF3D,2.4099363425925575
ENSG00000143933,CALM2,CALM2,2.4092418981481356
ENSG00000180817,PPA1,PPA1,2.38993055555555
ENSG00000239713,APOBEC3G,APOBEC3G,2.3861033950617285
ENSG00000167552,TUBA1A,TUBA1A,2.370253772290794
ENSG00000034713,GABARAPL2,GABARAPL2,2.3662326388888815
ENSG00000254505,CHMP4A,CHMP4A,2.355786822702308
ENSG00000142546,NOSIP,NOSIP,2.348263888888874
ENSG00000139644,TMBIM6,TMBIM6,2.34452589163235
ENSG00000127528,KLF2,KLF2,2.341967592592588
ENSG00000115165,CYTIP,CYTIP,2.337057398834002
ENSG00000175567,UCP2,UCP2,2.3201369598765247
ENSG00000096384,HSP90AB1,HSP90AB1,2.3172145061728013
ENSG00000160255,ITGB2,ITGB2,2.3097728052126003
ENSG00000183726,TMEM50A,TMEM50A,2.293979552469126
ENSG00000167004,PDIA3,PDIA3,2.2795934070644446
ENSG00000188186,LAMTOR4,LAMTOR4,2.2790721450617024
ENSG00000100664,EIF5,EIF5,2.2713983196158902
ENSG00000163931,TKT,TKT,2.2675848765431983
ENSG00000167468,GPX4,GPX4,2.265723379629608
ENSG00000143549,TPM3,TPM3,2.264171596364864
ENSG00000204435,CSNK2B,CSNK2B,2.2635108024691
ENSG00000150316,CWC15,CWC15,2.2571277006172656
ENSG00000086061,DNAJA1,DNAJA1,2.255895061728388
ENSG00000124942,AHNAK,AHNAK,2.2548148148147917
ENSG00000166337,TAF10,TAF10,2.254706575788749
ENSG00000002586,CD99,CD99,2.241630444101473
ENSG00000167863,ATP5H,ATP5H,2.220624142661158
ENSG00000135940,COX5B,COX5B,2.2126541066529284
ENSG00000127540,UQCR11,UQCR11,2.2036932013031287
ENSG00000063854,HAGH,HAGH,2.200231267146764
ENSG00000126264,HCST,HCST,2.197297453703696
ENSG00000126759,CFP,CFP,2.1937722908093265
ENSG00000026297,RNASET2,RNASET2,2.1929164523319398
ENSG00000116171,SCP2,SCP2,2.1910459533607556
ENSG00000205581,HMGN1,HMGN1,2.179037851508903
ENSG00000123144,C19orf43,C19orf43,2.1655501971879048
ENSG00000165678,GHITM,GHITM,2.1642127486282607
ENSG00000135441,BLOC1S1,BLOC1S1,2.162528935185168
ENSG00000113558,SKP1,SKP1,2.142942172496515
ENSG00000125148,MT2A,MT2A,2.122520361796968
ENSG00000099860,GADD45B,GADD45B,2.1203907321673428
ENSG00000118705,RPN2,RPN2,2.114495670438933
ENSG00000143119,CD53,CD53,2.100277777777757
ENSG00000184990,SIVA1,SIVA1,2.0996056241426535
ENSG00000108622,ICAM2,ICAM2,2.086334019204377
ENSG00000143727,ACP1,ACP1,2.0816863854595193
ENSG00000143774,GUK1,GUK1,2.071704389574756
ENSG00000102524,TNFSF13B,TNFSF13B,2.053886959876546
ENSG00000149781,FERMT3,FERMT3,2.041457475994516
ENSG00000100216,TOMM22,TOMM22,2.0407611025376995
ENSG00000130165,ELOF1,ELOF1,2.0311674811385365
ENSG00000110958,PTGES3,PTGES3,2.0203701560356677
ENSG00000135404,CD63,CD63,2.0158777006172617
ENSG00000113088,GZMK,GZMK,2.0157784636488305
ENSG00000066336,SPI1,SPI1,2.012031678669398
ENSG00000160799,CCDC12,CCDC12,2.006481481481476
ENSG00000196544,C17orf59,C17orf59,2.0041358024691345
ENSG00000225921,NOL7,NOL7,2.002794924554165
ENSG00000134248,LAMTOR5,LAMTOR5,1.9974999999999876
ENSG00000166848,TERF2IP,TERF2IP,1.9953155006858636
ENSG00000173221,GLRX,GLRX,1.9922625171467834
ENSG00000196405,EVL,EVL,1.973362268518501
ENSG00000102804,TSC22D1,TSC22D1,1.9718441358024663
ENSG00000198189,HSD17B11,HSD17B11,1.965120027434832
ENSG00000175390,EIF3F,EIF3F,1.9649691358024755
ENSG00000088986,DYNLL1,DYNLL1,1.9588989626200028
ENSG00000196498,NCOR2,NCOR2,1.9516613082990397
ENSG00000126756,UXT,UXT,1.948214806241403
ENSG00000140612,SEC11A,SEC11A,1.9458427640603442
ENSG00000088832,FKBP1A,FKBP1A,1.9456273576817291
ENSG00000130303,BST2,BST2,1.9420747599450916
ENSG00000110848,CD69,CD69,1.9420351080246858
ENSG00000111832,RWDD1,RWDD1,1.9400377229080747
ENSG00000087191,PSMC5,PSMC5,1.9355347650891381
ENSG00000166295,ANAPC16,ANAPC16,1.934189814814804
ENSG00000093144,ECHDC1,ECHDC1,1.9295601851851747
ENSG00000100612,DHRS7,DHRS7,1.9245876200274206
ENSG00000177733,HNRNPA0,HNRNPA0,1.9165584276405667
ENSG00000115310,RTN4,RTN4,1.9140327074759675
ENSG00000142168,SOD1,SOD1,1.9100274348422341
ENSG00000196954,CASP4,CASP4,1.9060011574073852
ENSG00000119414,PPP6C,PPP6C,1.9057784636488269
ENSG00000157916,RER1,RER1,1.8847728052125887
ENSG00000143771,CNIH4,CNIH4,1.875677083333323
ENSG00000067829,IDH3G,IDH3G,1.8736591220850305
ENSG00000166595,FAM96B,FAM96B,1.8676534636488185
ENSG00000100138,NHP2L1,NHP2L1,1.8645573988339952
ENSG00000104979,C19orf53,C19orf53,1.8621527777777813
ENSG00000131475,VPS25,VPS25,1.8605315500685804
ENSG00000169919,GUSB,GUSB,1.8595831189986205
ENSG00000242485,MRPL20,MRPL20,1.85842249657062
ENSG00000111639,MRPL51,MRPL51,1.856741898148123
ENSG00000115234,SNX17,SNX17,1.8529492455418277
ENSG00000021355,SERPINB1,SERPINB1,1.8503495799039664
ENSG00000216490,IFI30,IFI30,1.8492378257887419
